id,tag,title,hint,riddle,answer,ratings,rating_num,avg_rating,love_num,author,status,create_date,update_date
000011,脑洞,汤面11,"['时间循环', '警告', '尸体']",男人收到一封来自未来的信：“别打开地下室。”他无视警告撬开锁，发现里面竟是一具自己的尸体，手里攥着同样的信。,这是一个时间循环陷阱。未来的他因打开地下室而死，临死前写信警告过去的自己，但每次循环都会重复悲剧。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000012,脑洞,汤面12,"['镜中世界', '复制品', '守护灵']",女孩的猫会说话，但只有当她独处时才行。某天猫突然说：“快逃！你根本不是一个人！”她回头看到镜中的自己正咧嘴笑。,"女孩是镜中世界的复制品，真正的她早已被替换。猫是守护灵，试图提醒她，但为时已晚。  

 

\---

 

**5. 职场",[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000013,职场,汤面13,"['心脏病', '诅咒', '心梗']",实习生总发现自己的方案被署上总监名字。他偷偷在文件里加了一句“抄袭者死”，第二天总监猝死在办公室。,总监有严重心脏病，看到那句话后以为被诅咒，过度惊恐引发心梗。实习生并不知道他的健康状况。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000014,职场,汤面14,"['灵魂', '高管', '咖啡']",女员工连续加班，每晚都收到匿名咖啡。她调监控发现是清洁工放的，而清洁工上周就离职了。,清洁工是公司前高管，因被裁员自杀，灵魂徘徊在办公楼。他同情同样被压榨的她，默默送咖啡。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000015,职场,汤面15,"['导师', '精神分裂', '激励']",销售冠军突然拒绝所有客户，整天盯着空椅子说话。同事拆开他的耳机，发现根本没有播放音乐。,"椅子是他已逝导师常坐的位置。他靠“假装导师指导”来激励自己，如今压力过大导致精神分裂。  

 

\---

 

 **6. 校园",[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000016,校园,汤面16,"['双胞胎', '坟前', '承诺']",学霸每晚熄灯后溜出宿舍，早操时总满身是土。老师跟踪发现他在坟地背书，墓碑名字和他一样。,他是被收养的，墓碑下埋着双胞胎兄弟。兄弟临死前说“替我考上大学”，于是他每晚来坟前兑现承诺。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000017,校园,汤面17,"['连环杀手', '匿名信', '血红色']",转学生从不说话，却总在纸上画同一把刀。某天全班收到匿名信：“游戏开始”，他的画变成了血红色。,他是连环杀手的儿子，刀是凶器。信是杀手父亲寄的，暗示要对他同学下手。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000018,校园,汤面18,"['青梅竹马', '溺水', '灵魂']",女生总说“同桌有两个人”，大家以为她幻觉。毕业合照洗出来后，她指着空白处哭道：“他终于走了。”,"空白处曾坐着她的青梅竹马，因救她溺水身亡。她一直能看到他的灵魂，毕业那天他执念消散。  

 

\---

 

**7. 古风",[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000019,古风,汤面19,"['生父', '假死', '父子相残']",侠客追杀仇人十年，终于找到时，对方却笑问：“你确定我杀的是你父亲？”随后摘下面具，露出和他一样的脸。,仇人是他生父。当年父亲为保护他假死，却被误会成凶手，如今父子相残。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000020,古风,汤面20,"['河伯', '水鬼', '契约信物']",新娘成亲当晚自尽，丫鬟发现她手腕有鳞片。道士掀开盖头，新娘嘴里竟含着一条活鱼。,新娘是河伯的新娘，被水鬼附身。鱼是契约信物，她为逃婚咬断鱼鳃，但已妖化。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000021,古风,汤面21,"['玉眼', '和尚', '怨魂']",书生借宿破庙，总听见女子哭诉“还我眼睛”。他挖开佛像底座，发现里面埋着一具戴玉镯的骸骨。,"佛像眼睛是玉做的，被贪财和尚挖走。女子为寻失窃的镯子（与佛像玉眼同料）被害，怨魂不散。  

 

\---

 

8. 其他",[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000022,其他,汤面22,"['植物人', '灵魂', '野菊']",男人每天给妻子送花，直到花店老板报警：“您妻子三年前就去世了。”警察调查后发现更诡异的事。,男人是植物人，灵魂以为妻子还活着。花店老板能看到灵体，发现他送的花全是坟前的野菊。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000023,其他,汤面23,"['钢筋热胀冷缩', '孤儿院', '孩子']",整栋楼住户都反映半夜听见弹珠声，物业检查后说：“这栋楼根本没有小孩。”,声音来自天花板钢筋热胀冷缩，但住户们不知道。物业隐瞒的是——这楼曾是孤儿院，死过很多孩子。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
000024,其他,汤面24,"['撞死人', '亡灵', '车祸']",快递员总在404号房门口看到包裹，但该房无人居住。某天他忍不住拆开，里面是一张写着他名字的死亡证明。,他曾撞死人逃逸，死者住在404。包裹是亡灵寄的，死亡证明上的日期是他即将车祸身亡的日子。,[],0,0,0,ai作者1,1,2025-06-04 03:06:12,2025-06-04 03:06:12
